Player,Injury
Iñaki Williams,Esguince de tobillo
Iker Muniain,Lesión muscular en abductor
Tiago,Fractura de tibia
Giménez,Lesión bíceps femoral
Godín,Lesión bíceps femoral
Sandro,Lesión recto anterior
Fontàs,Molestias tendón de Aquiles
Pablo Hernández,Esguince rodilla
Iago Aspas,Microrrotura en el bíceps femoral
Néstor Díaz,Rotura en el hombro
Fabricio Agosto,Rotura lig. cruzado anterior
Róber Suárez,Lesión en el recto anterior
Manuel Pablo,Bíceps femoral
Sidnei,Rotura en el recto anterior
Borja Ekiza,Operado de una sport hernia
Jaime,Edema óseo
Lillo,Distensión muscular
Luna,Bíceps femoral
Anaitz Arbilla,Molestias tendón de Aquiles
Caicedo,Elongación bíceps femoral
Carlos Vigaray,Esguince tobillo
Velázquez,Rotura fibrilar
Miguel Lopes,Microrrotura abductor
Abdoulaye Doucouré,Esguince tobillo
Iván López,Rotura menisco
Rubén García,Lesión aductor
Toño García,Lesión tobillo
Kameni,Rotura menisco
Sergio Canales,Rotura ligamento cruzado
Eneko Capilla,Rotura ligamento cruzado
Agirretxe,Molestias en el tobillo
Raúl Navas,Molestias sin determinar
Toño,Rotura ligamento cruzado
Ebert,Rotura del tendón de Aquiles
Cobeño,Hernia lumbar
Jozabed,Artritis pie
Piti,Rotura en el oblicuo
Marco Andreolli,Rotura tendón de Aquiles
Vitolo,Isquios
Konoplyanka,Lesión en el bíceps femoral
N'Zonzi,Lesión músculo semitendinoso
Bakkali,Pubalgia
Denis Cheryshev,Lesión muscular
José Gayà,Lesión bíceps femoral
Cancelo,Lesión en el músculo crural
Jonathan Dos Santos,Rotura en los isquios
Samuel García,Fractura metatarsiano
Musacchio,Elongación en el recto
Denis Suárez,Edema en la cadera
Jaume Costa,Sobrecarga
Samu Castillejo,Molestias
Javi Castellano,Rotura menisco
Wakaso,Microrrotura bíceps femoral
Bernardo Espinosa,Triada
Álex Menéndez,Lesión de rodilla
Cristiano Piccini,Rotura de ligamento cruzado
