Player,Injury
Aymeric Laporte,Fractura de peroné
Sabin Merino,Rotura en el isquiotibial
Aritz Aduriz,Lesión indeterminada
Tiago,Fractura de tibia
Diego Godín,Lesión en los isquios
Sandro,Lesión recto anterior
Mathieu,Rotura menisco
Vermaelen,Elongación en el sóleo
Sergi Samper,Fractura del maleolo
Fontàs,Molestias tendón de Aquiles
Néstor Díaz,Rotura en el hombro
Hugo Mallo,Microrrotura en el aductor
Beauvue,Rotura tendón Aquiles
Daniel Wass,Esguince tobillo
Fabricio Agosto,Rotura lig. cruzado anterior
Germán Lux,Rotura ligamento rodilla
Luis Alberto,Molestias
Luisinho,Molestias tendón
Borja Ekiza,Operado de una sport hernia
Jaime Jiménez,Edema óseo
Antonio Luna,Lesión indeterminada
Anaitz Arbilla,Molestias tendón Aquiles
Rober Correa,Sobrecarga obturador
José Alberto Cañas,Sobrecarga en los isquios
Caicedo,Aductor
Óscar Duarte,Aductor
Roberto Lago,Lesión indeterminada
Velázquez,Rotura fibrilar
Juan Cala,Molestias sin determinar
Goitom,Molestias sin determinar
Álvaro Pereira,Lesión en los isquios
Success,Fractura en la cara
Marreh,Rotura del ligamento cruzado
Foulquier,Fractura metatarsiano
Márquez,Molestias
Miguel Lopes,Contusión muslo
Iván López,Rotura menisco
Toño García,Lesión tobillo
Juan Carlos Pérez,Molestias en el aductor
Javi Ontiveros,Lesión en el recto anterior
Sergio Canales,Rotura ligamento cruzado
Carlos Martínez,Lesión en el tobillo
Agirretxe,Molestias en el tobillo
Toño,Rotura ligamento cruzado
Ebert,Rotura del tendón de Aquiles
Cobeño,Hernia lumbar
Piti,Molestias en el tobillo
Zé Castro,Molestias
Raúl Baena,Molestias sin determinar
Tito,Trabajo al margen
Pablo Hernández,Trabajo al margen
Carvajal,Sobrecarga muscular
Cristiano Ronaldo,Molestias en los isquios
Marco Andreolli,Rotura tendón de Aquiles
Tremoulinas,Rotura fibrilar
Vitolo,Lesión en los isquios
Rami,Elongación
Cheryshev,Lesión en el recto anterior
Bakkali,Pubalgia
Pablo Piatti,Lesión en el aductor
Gayá,Contractura cuádriceps
Siqueira,Molestias tobillo
Musacchio,Rotura en el recto anterior
Jaume Costa,Sobrecarga
Víctor Ruíz,Molestias
Musacchio,Rotura en el recto anterior
Javi Castellano,Rotura menisco
Wakaso,Sobrecarga isquiotibiales
Bernardo Espinosa,Triada
Álex Menéndez,Esguince rodilla
Roberto Canella,Sobrecarga aductor
Álex Barrera,Contusión rodilla
Antonio Sanabria,Sobrecarga
Jony Rodríguez,Sobrecarga
Cristiano Piccini,Rotura de ligamento cruzado
Digard,Sobrecarga cuádriceps
N' Diaye,Sobrecarga sóleo
Dani Ceballos,Contusión sóleo
Martín Montoya,Sobrecarga bíceps
